UnityTime [s],X,Y,Z,RX,RY,RZ,X2,Y2,Z2,RX2,RY2,RZ2,tangent,ERROR y,X - X2,Y - Y2,Z - Z2,RX - RX2,RY - RY2,RZ - RZ2,
0,596.1,18.65,696.6,355.6315,196.8044,359.802,596.1,18.65,696.6,355.6315,196.8044,359.802,0.1197014,0,0,0,0,0,0,0,
0.005,596.1,18.65,696.6,355.6315,196.8044,359.802,596.1,18.65,696.6,355.6315,196.8044,359.802,0.1197014,0,0,0,0,0,0,0,
0.01,596.0952,18.65128,696.5841,355.5555,196.4528,359.8388,596.0955,18.65134,696.584,355.5621,196.4868,359.8352,0.1322063,6.103516E-05,-0.0003051758,-6.103516E-05,6.103516E-05,-0.006591797,-0.03398132,0.003601074,
0.015,596.0901,18.6527,696.5667,355.4952,196.1691,359.8709,596.0906,18.65281,696.5665,355.5014,196.1985,359.8675,0.145683,0.0001106262,-0.0004882813,-0.0001125336,0.0001220703,-0.006164551,-0.0294342,0.003417969,
0.02,596.0848,18.65426,696.5478,355.4445,195.9334,359.8997,596.0853,18.6544,696.5477,355.4467,195.944,359.8984,0.1599523,0.0001520266,-0.0005493164,-0.0001411438,0.0001220703,-0.002166748,-0.01057434,0.001281738,
0.025,596.0797,18.65573,696.5302,355.4075,195.7609,359.9226,596.0804,18.65588,696.53,355.4088,195.7679,359.9216,0.1715575,0.0001564026,-0.0007324219,-0.0001583099,0.0001831055,-0.001373291,-0.006958008,0.0009765625,
0.03,596.075,18.65714,696.5133,355.379,195.631,359.9413,596.0757,18.6573,696.5131,355.3813,195.644,359.9394,0.1812331,0.0001621246,-0.0007324219,-0.0001621246,0.0001831055,-0.002319336,-0.01301575,0.00189209,
0.035,596.07,18.65862,696.4956,355.3538,195.511,359.9594,596.0707,18.65879,696.4954,355.3563,195.5222,359.9576,0.1912492,0.0001621246,-0.0007324219,-0.0001621246,0.0001831055,-0.002502441,-0.01121521,0.00177002,
0.04,596.0649,18.66019,696.477,355.3317,195.4074,359.9763,596.0656,18.66035,696.4768,355.3326,195.4137,359.9754,0.2016056,0.0001544952,-0.0006713867,-0.0001544952,0.0001831055,-0.0009765625,-0.006286621,0.0009765625,
0.04499999,596.0599,18.66177,696.4584,355.313,195.3202,359.9916,596.0604,18.66191,696.4583,355.313,195.3235,359.9913,0.2113332,0.0001392365,-0.0005493164,-0.0001392365,0.0001220703,6.103516E-05,-0.003311157,0.0002746582,
0.04999999,596.0552,18.66319,696.4417,355.2986,195.2543,0.003713817,596.0557,18.66331,696.4416,355.2997,195.2597,0.002875201,0.2188351,0.0001182556,-0.0004882813,-0.0001182556,0.0001220703,-0.001098633,-0.005462646,0.0008386166,
0.05499999,596.0505,18.66467,696.4244,355.2856,195.1925,0.01553323,596.0509,18.66476,696.4243,355.2867,195.1976,0.01454985,0.2264948,8.964539E-05,-0.0004272461,-8.964539E-05,0.0001220703,-0.001159668,-0.005111694,0.0009833788,
