x,y,z
480.46,24.96,540.36
480.4616,24.95917,540.3137
480.4635,24.95841,540.2673
480.4656,24.95772,540.2209
480.4679,24.95709,540.1744
480.4704,24.95654,540.1278
480.4731,24.95605,540.0811
480.476,24.95563,540.0344
480.4792,24.95527,539.9877
480.4825,24.95499,539.9413
480.4861,24.95477,539.895
480.4898,24.95461,539.8487
480.4937,24.95451,539.8023
480.4978,24.95448,539.7559
480.5022,24.95452,539.7094
480.5067,24.95461,539.6628
480.5115,24.95477,539.6162
480.5164,24.95498,539.5698
480.5215,24.95526,539.5236
480.5267,24.95559,539.4775
480.5322,24.95598,539.4313
480.5378,24.95644,539.385
480.5437,24.95695,539.3387
480.5497,24.95751,539.2924
480.5559,24.95814,539.246
480.5623,24.95882,539.1996
480.5689,24.95956,539.1536
480.5756,24.96034,539.1077
480.5824,24.96118,539.0617
480.5895,24.96208,539.0157
480.5967,24.96303,538.9696
480.6041,24.96404,538.9235
480.6117,24.96509,538.8774
480.6195,24.9662,538.8313
480.6274,24.96736,538.7852
480.6354,24.96857,538.7395
480.6436,24.96982,538.6938
480.652,24.97113,538.6481
480.6606,24.97248,538.6023
480.6693,24.97389,538.5565
480.6781,24.97534,538.5106
480.6872,24.97685,538.4648
480.6964,24.9784,538.4189
480.7057,24.98,538.3733
480.7151,24.98164,538.3278
480.7247,24.98332,538.2823
480.7345,24.98505,538.2368
480.7444,24.98682,538.1913
480.7545,24.98865,538.1458
480.7647,24.99052,538.1003
480.7751,24.99243,538.0547
480.7856,24.99439,538.0092
480.7962,24.99639,537.9639
480.807,24.99842,537.9188
480.8179,25.00049,537.8735
480.8289,25.00261,537.8284
480.8401,25.00478,537.7832
480.8515,25.00698,537.738
480.863,25.00923,537.6927
480.8746,25.01152,537.6476
480.8864,25.01385,537.6024
480.8983,25.01621,537.5574
480.9103,25.01861,537.5126
480.9224,25.02105,537.4677
480.9347,25.02353,537.4229
480.9471,25.02605,537.378
480.9596,25.02861,537.3331
480.9723,25.0312,537.2882
480.9851,25.03384,537.2434
480.9981,25.03651,537.1985
481.0111,25.03921,537.1539
481.0243,25.04195,537.1094
481.0375,25.04472,537.0649
481.051,25.04753,537.0204
481.0645,25.05037,536.9758
481.0782,25.05326,536.9313
481.092,25.05618,536.8868
481.1059,25.05913,536.8423
481.12,25.06212,536.7979
481.1341,25.06513,536.7537
481.1484,25.06818,536.7094
481.1628,25.07126,536.6653
481.1772,25.07438,536.6211
481.1919,25.07752,536.5769
481.2066,25.08071,536.5328
481.2215,25.08392,536.4886
481.2365,25.08717,536.4446
481.2516,25.09045,536.4005
481.2668,25.09376,536.3566
481.2821,25.09709,536.3127
481.2975,25.10046,536.2689
481.313,25.10386,536.2251
481.3287,25.10728,536.1813
481.3445,25.11074,536.1376
481.3604,25.11423,536.0939
481.3763,25.11776,536.0502
481.3925,25.12131,536.0065
481.4086,25.12488,535.963
481.425,25.12849,535.9194
481.4414,25.13212,535.876
481.4579,25.13578,535.8325
481.4745,25.13947,535.7892
481.4913,25.14319,535.7458
481.5081,25.14693,535.7025
481.5251,25.15071,535.6592
481.5422,25.15451,535.616
481.5593,25.15834,535.5728
481.5766,25.16219,535.5297
481.594,25.16607,535.4866
481.6115,25.16998,535.4435
481.6291,25.17391,535.4005
481.6468,25.17787,535.3575
481.6646,25.18185,535.3147
