x,y,z
596.1,18.65,696.6
596.0942,18.65155,696.5807
596.088,18.65331,696.5593
596.0815,18.65518,696.5366
596.076,18.65685,696.5168
596.07,18.65862,696.4956
596.0638,18.66052,696.4733
596.058,18.66233,696.4518
596.0524,18.66407,696.4314
596.0466,18.66589,696.4102
596.0406,18.66778,696.3881
596.0347,18.66969,696.3659
596.0292,18.67144,696.3455
596.0236,18.67324,696.3246
596.0179,18.67509,696.3031
596.012,18.677,696.2811
596.0062,18.67891,696.259
596.0008,18.68069,696.2385
595.9952,18.6825,696.2177
595.9896,18.68435,696.1963
595.9838,18.68624,696.1746
595.978,18.68816,696.1525
595.9724,18.69002,696.131
595.9669,18.69182,696.1103
595.9612,18.69365,696.0892
595.9557,18.69551,696.0679
595.95,18.69739,696.0461
595.9442,18.6993,696.0242
595.9384,18.7012,696.0025
595.933,18.703,695.9817
595.9274,18.70483,695.9607
595.9219,18.70667,695.9395
595.9163,18.70854,695.918
595.9105,18.71043,695.8964
595.9047,18.71234,695.8743
595.8991,18.71421,695.8528
595.8936,18.71603,695.832
595.888,18.71786,695.811
595.8824,18.71971,695.7897
595.8768,18.72157,695.7682
595.8711,18.72345,695.7466
595.8653,18.72535,695.7248
595.8596,18.72725,695.7029
595.854,18.72906,695.6821
595.8484,18.73089,695.661
595.8429,18.73273,695.6398
595.8372,18.73458,695.6185
595.8315,18.73644,695.597
595.8258,18.73832,695.5753
595.8201,18.74021,695.5535
595.8143,18.74208,695.532
595.8087,18.74389,695.511
595.8032,18.74572,695.4899
595.7975,18.74755,695.4687
595.7918,18.7494,695.4473
595.7861,18.75126,695.4259
595.7805,18.75312,695.4043
595.7746,18.755,695.3826
595.7689,18.75688,695.3608
595.7632,18.75869,695.3399
595.7576,18.76051,695.3187
595.7519,18.76234,695.2975
595.7463,18.76417,695.2763
595.7405,18.76602,695.2549
595.7347,18.76787,695.2334
595.7289,18.76973,695.2118
595.7231,18.77159,695.1901
595.7174,18.77343,695.1687
595.7117,18.77524,695.1476
595.706,18.77705,695.1265
595.7003,18.77888,695.1052
595.6945,18.7807,695.0839
595.6887,18.78254,695.0626
595.6829,18.78438,695.0411
595.6771,18.78622,695.0195
595.6713,18.78807,694.9979
595.6654,18.7899,694.9766
595.6597,18.7917,694.9554
595.654,18.79351,694.9343
595.6482,18.79532,694.9131
595.6424,18.79714,694.8918
595.6365,18.79896,694.8704
595.6307,18.80079,694.8489
595.6248,18.80262,694.8275
595.6188,18.80445,694.8058
595.613,18.80627,694.7845
595.6072,18.80807,694.7633
595.6014,18.80987,694.7422
595.5956,18.81167,694.7209
595.5898,18.81347,694.6996
595.5839,18.81528,694.6783
595.5779,18.81709,694.6569
595.5721,18.8189,694.6355
595.5661,18.82071,694.6141
595.5601,18.82253,694.5925
595.5543,18.82432,694.5714
595.5484,18.82611,694.5502
595.5425,18.82789,694.529
595.5366,18.82968,694.5077
595.5306,18.83147,694.4864
595.5247,18.83327,694.4651
595.5187,18.83506,694.4437
595.5128,18.83685,694.4223
595.5067,18.83865,694.4009
595.5007,18.84045,694.3795
595.4948,18.84222,694.3583
595.4888,18.84399,694.3371
595.4828,18.84576,694.3159
595.4768,18.84754,694.2946
595.4708,18.84931,694.2734
595.4648,18.85109,694.252
595.4587,18.85287,694.2306
595.4527,18.85464,694.2093
595.4465,18.85642,694.1879
595.4405,18.85819,694.1666
595.4344,18.85995,694.1453
595.4283,18.8617,694.1241
595.4224,18.86346,694.103
595.4163,18.86522,694.0817
595.4101,18.86697,694.0604
595.404,18.86873,694.0392
595.3979,18.87048,694.0178
595.3917,18.87224,693.9966
595.3856,18.87399,693.9752
595.3795,18.87574,693.9539
595.3733,18.87748,693.9327
595.3671,18.87922,693.9116
595.361,18.88095,693.8903
595.3547,18.88269,693.869
595.3485,18.88443,693.8478
595.3423,18.88616,693.8266
595.3361,18.8879,693.8053
595.3298,18.88963,693.7841
595.3236,18.89136,693.7628
595.3174,18.89308,693.7415
595.3112,18.8948,693.7204
595.3049,18.89652,693.6992
595.2986,18.89824,693.6779
595.2923,18.89995,693.6567
595.286,18.90166,693.6354
595.2797,18.90338,693.6143
595.2734,18.90508,693.5931
595.267,18.90679,693.5718
595.2607,18.90849,693.5507
595.2543,18.91019,693.5294
595.2479,18.91189,693.5082
595.2415,18.91359,693.487
595.2352,18.91528,693.4658
595.2288,18.91697,693.4446
595.2224,18.91866,693.4234
595.2159,18.92034,693.4022
595.2095,18.92202,693.3811
595.203,18.92369,693.36
595.1966,18.92537,693.3388
595.1901,18.92704,693.3176
595.1836,18.92871,693.2964
595.1771,18.93038,693.2752
595.1705,18.93205,693.254
595.164,18.93371,693.2328
595.1574,18.93537,693.2117
595.1509,18.93702,693.1906
595.1443,18.93867,693.1696
595.1378,18.94031,693.1484
595.1312,18.94195,693.1273
595.1246,18.94359,693.1063
595.1179,18.94524,693.085
595.1112,18.94688,693.0638
595.1046,18.94851,693.0427
595.0978,18.95015,693.0215
595.0911,18.95177,693.0005
595.0845,18.95339,692.9794
595.0778,18.955,692.9584
595.071,18.95661,692.9374
595.0643,18.95821,692.9164
595.0575,18.95982,692.8953
595.0507,18.96143,692.874
595.0438,18.96304,692.8529
595.037,18.96464,692.8318
595.0302,18.96623,692.8107
595.0233,18.96782,692.7897
595.0165,18.96939,692.7687
595.0096,18.97097,692.7477
595.0027,18.97253,692.7268
594.9958,18.97409,692.7059
594.9889,18.97567,692.6848
594.9818,18.97724,692.6636
594.9749,18.97881,692.6425
594.9678,18.98037,692.6213
594.9607,18.98192,692.6003
594.9537,18.98346,692.5794
594.9467,18.98499,692.5585
594.9396,18.98652,692.5377
594.9326,18.98803,692.5168
594.9255,18.98955,692.496
594.9182,18.99109,692.4747
594.911,18.99261,692.4536
594.9038,18.99413,692.4326
594.8965,18.99564,692.4116
594.8893,18.99714,692.3907
594.8821,18.99862,692.3699
594.8748,19.0001,692.3491
594.8676,19.00157,692.3284
594.8603,19.00303,692.3077
594.8528,19.00452,692.2866
594.8454,19.006,692.2654
594.8379,19.00747,692.2444
594.8304,19.00892,692.2235
594.823,19.01037,692.2026
594.8155,19.0118,692.1819
594.808,19.01322,692.1612
594.8005,19.01464,692.1406
594.7931,19.01603,692.1201
594.7853,19.01746,692.099
594.7776,19.01889,692.0779
594.7699,19.02029,692.057
594.7621,19.02169,692.0362
594.7544,19.02307,692.0154
594.7466,19.02444,691.9948
594.7389,19.02579,691.9742
594.7311,19.02714,691.9537
594.7233,19.02847,691.9332
594.7153,19.02984,691.9122
594.7073,19.03119,691.8912
594.6992,19.03252,691.8704
594.6912,19.03384,691.8497
